iter	compliance	FCS	theta_only	hj_trial	reinit_trial	accepted_source_detail
86	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
87	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
88	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
89	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
90	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
91	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
92	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
93	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
94	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
95	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
96	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
97	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
98	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
99	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
100	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
101	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
102	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
103	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
104	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
105	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
106	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
107	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
108	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
109	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
